iter	Passed	Remaining
340	40169	77630
341	40253	77447
342	40347	77282
343	40434	77107
344	40518	76926
345	40603	76748
346	40695	76583
347	40780	76404
348	40860	76219
349	40958	76065
350	41076	75950
351	41176	75802
352	41285	75671
353	41377	75508
354	41459	75328
355	41551	75166
356	41635	74990
357	41724	74823
358	41867	74755
359	41966	74607
360	42063	74455
361	42152	74290
362	42243	74130
363	42369	74029
364	42461	73871
365	42552	73711
366	42638	73543
367	42727	73379
368	42817	73218
369	42911	73065
370	42996	72897
371	43092	72748
372	43188	72598
373	43278	72439
374	43369	72283
375	43472	72145
376	43579	72015
377	43688	71889
378	43799	71766
379	43904	71632
380	44012	71505
381	44105	71354
382	44231	71255
383	44368	71173
384	44467	71033
385	44564	70887
386	44670	70757
387	44772	70619
388	44876	70486
389	44977	70349
390	45094	70237
391	45203	70110
392	45317	69994
393	45413	69848
394	45519	69719
395	45640	69612
396	45779	69533
397	45950	69503
398	46082	69412
399	46223	69334
400	46376	69275
401	46520	69202
402	46630	69077
403	46758	68980
404	46855	68837
405	46962	68709
406	47085	68603
407	47193	68477
408	47295	68340
409	47386	68190
410	47492	68061
411	47590	67920
412	47686	67777
413	47770	67616
414	47852	67455
415	47939	67299
416	48056	67186
417	48147	67038
418	48261	66921
419	48382	66813
420	48499	66701
421	48620	66593
422	48735	66479
423	48827	66331
424	48918	66183
425	49029	66063
426	49112	65905
427	49198	65751
428	49332	65661
429	49423	65514
430	49515	65370
431	49615	65235
432	49719	65105
433	49814	64965
434	49962	64894
435	50063	64761
436	50148	64607
437	50258	64487
438	50354	64348
439	50457	64218
440	50614	64157
441	50726	64039
442	50842	63926
443	50973	63831
444	51091	63721
445	51205	63604
446	51312	63480
447	51407	63341
448	51503	63203
449	51601	63068
450	51706	62942
451	51810	62814
452	51899	62668
453	51998	62536
454	52102	62408
455	52205	62279
456	52316	62162
457	52415	62028
458	52516	61898
459	52617	61768
460	52723	61644
461	52810	61497
462	52911	61368
463	53023	61251
464	53126	61124
465	53250	61020
466	53367	60909
467	53505	60822
468	53633	60723
469	53746	60608
470	53853	60484
471	53974	60378
472	54092	60267
473	54199	60145
474	54293	60008
475	54383	59867
476	54481	59735
477	54583	59608
478	54680	59475
479	54782	59348
480	54882	59218
481	54989	59096
482	55096	58975
483	55204	58854
484	55314	58736
485	55416	58609
486	55511	58475
487	55608	58343
488	55762	58271
489	55984	58269
490	56107	58164
491	56231	58059
492	56342	57942
493	56444	57815
494	56586	57730
495	56713	57628
496	56813	57499
497	56920	57377
498	57049	57278
499	57142	57142
500	57252	57023
501	57358	56901
502	57467	56781
503	57564	56650
504	57663	56521
505	57775	56405
506	57874	56276
507	58011	56184
508	58116	56060
509	58219	55936
510	58328	55817
511	58441	55702
512	58578	55609
513	58693	55495
514	58807	55381
515	58912	55259
516	59024	55142
517	59123	55014
518	59233	54896
519	59339	54774
520	59442	54650
521	59538	54520
522	59631	54386
523	59728	54257
524	59829	54131
525	59962	54034
526	60045	53892
527	60158	53778
528	60300	53688
529	60379	53544
530	60471	53410
531	60581	53293
532	60689	53174
533	60816	53071
534	60943	52969
535	61050	52849
536	61161	52733
537	61283	52625
538	61396	52511
539	61510	52397
540	61599	52262
541	61704	52141
542	61792	52005
543	61885	51874
544	61996	51758
545	62097	51634
546	62193	51505
547	62294	51381
548	62392	51255
549	62486	51124
550	62587	51001
551	62674	50865
552	62768	50737
553	62870	50614
554	63016	50526
555	63143	50423
556	63226	50286
557	63327	50162
558	63431	50041
559	63533	49918
560	63638	49798
561	63777	49705
562	63905	49603
563	64001	49476
564	64134	49378
565	64253	49268
566	64356	49147
567	64442	49012
568	64532	48881
569	64616	48745
570	64700	48610
571	64820	48501
572	64956	48405
573	65106	48319
574	65201	48192
575	65310	48075
576	65424	47962
577	65520	47836
578	65617	47711
579	65721	47591
580	65846	47486
581	65966	47378
582	66084	47268
583	66195	47153
584	66294	47029
585	66404	46913
586	66494	46783
587	66597	46663
588	66693	46538
589	66788	46412
590	66896	46295
591	66998	46174
592	67108	46059
593	67203	45933
594	67309	45815
595	67402	45689
596	67494	45561
597	67598	45442
598	67702	45323
599	67812	45208
600	67925	45094
601	68017	44968
602	68116	44846
603	68216	44725
604	68307	44597
605	68418	44483
606	68537	44374
607	68664	44270
608	68794	44168
609	68931	44070
610	69054	43964
611	69165	43850
612	69275	43735
613	69394	43626
614	69504	43511
615	69599	43386
616	69696	43263
617	69793	43140
618	69903	43026
619	70000	42903
620	70096	42780
621	70195	42658
622	70285	42532
623	70376	42406
624	70470	42282
625	70569	42161
626	70681	42048
627	70803	41941
628	70942	41843
629	71058	41732
630	71164	41615
631	71259	41492
632	71356	41370
633	71461	41253
634	71564	41135
635	71687	41028
636	71783	40906
637	71894	40792
638	71999	40676
639	72096	40554
640	72212	40443
641	72309	40322
642	72398	40196
643	72493	40074
644	72596	39956
645	72698	39837
646	72983	39819
647	73113	39715
648	73235	39607
649	73344	39492
650	73455	39379
651	73576	39270
652	73687	39157
653	73795	39041
654	73904	38926
655	74017	38813
656	74113	38692
657	74219	38575
658	74316	38455
659	74422	38338
660	74522	38219
661	74618	38098
662	74720	37979
663	74850	37876
664	74950	37756
665	75041	37633
666	75133	37510
667	75240	37394
668	75337	37274
669	75430	37152
670	75525	37031
671	75642	36920
672	75755	36808
673	75890	36706
674	76003	36594
675	76098	36473
676	76194	36352
677	76297	36235
678	76387	36112
679	76484	35992
680	76582	35873
681	76682	35754
682	76783	35637
683	76910	35531
684	77017	35416
685	77128	35303
686	77232	35187
687	77328	35067
688	77427	34949
689	77521	34828
690	77644	34720
691	77743	34602
692	77846	34486
693	77954	34371
694	78056	34255
695	78164	34140
696	78270	34025
697	78384	33914
698	78485	33797
699	78590	33681
700	78686	33562
701	78794	33448
702	78896	33331
703	78996	33214
704	79093	33095
705	79196	32979
706	79297	32863
707	79388	32742
708	79492	32626
709	79637	32527
710	79758	32419
711	79882	32311
712	79978	32193
713	80074	32074
714	80177	31958
715	80269	31838
716	80370	31722
717	80472	31606
718	80585	31494
719	80707	31386
720	80842	31283
721	80958	31172
722	81062	31057
723	81168	30942
724	81279	30830
725	81381	30714
726	81477	30596
727	81588	30483
728	81695	30369
729	81803	30255
730	81913	30143
731	81999	30021
732	82111	29909
733	82211	29793
734	82307	29675
735	82434	29568
736	82530	29451
737	82635	29336
738	82741	29222
739	82856	29111
740	82961	28997
741	83075	28886
742	83188	28774
743	83289	28658
744	83399	28546
745	83494	28428
746	83595	28312
747	83698	28198
748	83819	28089
749	83920	27973
750	84029	27860
751	84134	27746
752	84227	27628
753	84339	27516
754	84440	27401
755	84545	27287
756	84647	27172
757	84760	27060
758	84886	26953
759	85004	26843
760	85153	26743
761	85296	26641
762	85492	26555
763	85650	26457
764	85819	26362
765	85971	26262
766	86146	26169
767	86301	26070
768	86441	25966
769	86594	25865
770	86734	25761
771	86860	25653
772	86980	25542
773	87103	25433
774	87223	25322
775	87350	25214
776	87468	25103
777	87583	24991
778	87711	24883
779	87855	24779
780	87985	24671
781	88121	24565
782	88251	24457
783	88365	24345
784	88512	24242
785	88661	24139
786	88824	24040
787	88947	23929
788	89075	23821
789	89240	23722
790	89394	23619
791	89532	23513
792	89653	23402
793	89781	23293
794	89917	23186
795	90052	23078
796	90254	22988
797	90469	22900
798	90616	22795
799	90766	22691
800	90893	22581
801	91010	22468
802	91138	22358
803	91265	22248
804	91399	22140
805	91522	22029
806	91645	21917
807	91785	21810
808	91971	21713
809	92090	21601
810	92212	21489
811	92334	21377
812	92454	21265
813	92570	21152
814	92685	21039
815	92812	20928
816	92935	20816
817	93071	20707
818	93176	20592
819	93304	20481
820	93438	20372
821	93561	20260
822	93688	20149
823	93840	20043
824	93976	19934
825	94106	19823
826	94218	19709
827	94341	19597
828	94462	19484
829	94581	19372
830	94703	19259
831	94827	19147
832	94940	19033
833	95073	18923
834	95187	18809
835	95292	18693
836	95436	18585
837	95607	18482
838	95723	18368
839	95837	18254
840	95953	18141
841	96076	18028
842	96193	17915
843	96337	17806
844	96460	17694
845	96587	17582
846	96722	17471
847	96843	17358
848	96962	17245
849	97113	17137
850	97323	17040
851	97528	16941
852	97736	16843
853	97863	16730
854	97996	16619
855	98130	16507
856	98228	16390
857	98352	16277
858	98481	16165
859	98610	16052
860	98732	15939
861	98862	15827
862	98991	15714
863	99109	15600
864	99233	15487
865	99347	15372
866	99463	15257
867	99590	15145
868	99710	15031
869	99829	14917
870	99946	14802
871	100066	14688
872	100206	14577
873	100321	14462
874	100437	14348
875	100550	14233
876	100681	14120
877	100816	14008
878	100929	13893
879	101054	13780
880	101198	13669
881	101334	13557
882	101458	13443
883	101594	13331
884	101724	13218
885	101852	13105
886	101978	12991
887	102114	12879
888	102242	12765
889	102352	12650
890	102469	12535
891	102586	12420
892	102731	12309
893	102882	12198
894	103014	12085
895	103124	11969
896	103244	11855
897	103361	11740
898	103484	11626
899	103620	11513
900	103752	11400
901	103865	11284
902	103994	11171
903	104106	11055
904	104226	10940
905	104348	10826
906	104473	10712
907	104592	10597
908	104703	10481
909	104823	10367
910	104949	10252
911	105045	10136
912	105135	10018
913	105249	9903
914	105340	9785
915	105435	9668
916	105544	9553
917	105630	9435
918	105736	9319
919	105831	9202
920	105921	9085
921	106044	8971
922	106163	8856
923	106275	8741
924	106381	8625
925	106483	8509
926	106595	8394
927	106699	8278
928	106793	8161
929	106880	8044
930	106991	7929
931	107088	7813
932	107209	7698
933	107385	7588
934	107561	7477
935	107654	7360
936	107790	7247
937	107924	7133
938	108012	7016
939	108095	6899
940	108211	6784
941	108323	6669
942	108427	6553
943	108532	6438
944	108639	6322
945	108755	6208
946	108871	6093
947	108986	5978
948	109076	5861
949	109160	5745
950	109243	5628
951	109337	5512
952	109435	5397
953	109523	5281
954	109607	5164
955	109716	5049
956	109813	4934
957	109904	4818
958	109993	4702
959	110089	4587
960	110187	4471
961	110274	4355
962	110366	4240
963	110465	4125
964	110556	4009
965	110640	3894
966	110761	3779
967	110864	3664
968	110983	3550
969	111095	3435
970	111201	3321
971	111317	3206
972	111420	3091
973	111535	2977
974	111630	2862
975	111736	2747
976	111837	2632
977	111936	2518
978	112027	2403
979	112130	2288
980	112278	2174
981	112405	2060
982	112497	1945
983	112590	1830
984	112699	1716
985	112783	1601
986	112881	1486
987	113011	1372
988	113102	1257
989	113190	1143
990	113296	1028
991	113426	914
992	113561	800
993	113679	686
994	113800	571
995	113912	457
996	114010	343
997	114107	228
998	114218	114
999	114309	0
