iter	Accuracy	Logloss
0	0.8793541225	0.5318717686
1	0.9217329655	0.4258711386
2	0.9339118678	0.3450478925
3	0.9408779142	0.2861695463
4	0.9486161337	0.2449557099
5	0.9549666399	0.2137386808
6	0.9630511008	0.189773539
7	0.9659172098	0.172141259
8	0.9694565659	0.1534461776
9	0.9738532816	0.135149157
10	0.9773706541	0.1234344073
11	0.9785083043	0.1166473671
12	0.982014685	0.1046089529
13	0.9833034723	0.09943306024
14	0.9839300043	0.09317526468
15	0.9870626642	0.08713841519
16	0.9889037889	0.07877510903
17	0.9901183816	0.07273205996
18	0.9906349957	0.06954864507
19	0.9911048946	0.06566977299
20	0.9918248568	0.06111081354
21	0.9924651285	0.0575029764
22	0.993069677	0.05430999122
23	0.9933884388	0.05091362313
24	0.9937236884	0.04800832052
25	0.9942293107	0.04528062017
26	0.9945041054	0.04257851782
27	0.9949575167	0.04020526633
28	0.9950372072	0.03847326754
29	0.9952625389	0.03674811237
30	0.9954301637	0.03525451866
31	0.9958588434	0.03310093009
32	0.9959687613	0.03214036281
33	0.9964194247	0.02978327184
34	0.9965238467	0.02903973318
35	0.9967079592	0.02790768034
36	0.9969277949	0.02636089609
37	0.997133891	0.02501346423
38	0.9974334172	0.0232355923
39	0.9976092859	0.02202671923
40	0.9976669928	0.02130129595
41	0.9977824065	0.02057183453
42	0.9978785847	0.01934308319
43	0.9979362916	0.01885446434
44	0.9979912505	0.01829869506
45	0.9981478835	0.01729101944
46	0.9981836068	0.01696180274
47	0.9982055904	0.01665082687
48	0.9982303219	0.01614945708
49	0.9982880288	0.01536655958
50	0.9982825329	0.01502883187
51	0.9982770371	0.01479219898
52	0.9983265001	0.0143871338
53	0.998436418	0.01375033417
54	0.9984776372	0.01343010945
55	0.9984776372	0.01317439206
56	0.998538092	0.01268792983
57	0.9985710674	0.01243675751
58	0.9986590017	0.01195946058
59	0.9986837333	0.01177726124
60	0.998746936	0.01125108718
61	0.998746936	0.01113539966
62	0.9987689196	0.01082205894
63	0.9988568539	0.01031215758
64	0.9988431142	0.01021106228
65	0.9988788375	0.009992400179
66	0.9989008211	0.009713669843
67	0.9988898293	0.009589905663
68	0.9989750157	0.009097606312
69	0.9990217308	0.008974963272
70	0.999060202	0.008536573109
71	0.9990849336	0.008351350148
72	0.9990986733	0.008269501274
73	0.999115161	0.008157381828
74	0.999112413	0.008033055501
75	0.9991371446	0.007876592826
76	0.9991316487	0.007822577009
77	0.9991975994	0.007464585211
78	0.9992113391	0.007217872312
79	0.9992333227	0.007079567862
80	0.9992443145	0.006942971667
81	0.9992662981	0.006792546802
82	0.9992800378	0.006758901516
83	0.9992855337	0.006666347957
84	0.9993075173	0.006550744899
85	0.9993075173	0.006467597248
86	0.9993487365	0.006087523417
87	0.9993569803	0.006050905877
88	0.9993679721	0.005980908804
89	0.999373468	0.005852677901
90	0.9993789639	0.005751700413
91	0.9993817119	0.005672979396
92	0.9993817119	0.005623593155
93	0.9993927037	0.005542360104
94	0.9994119393	0.005352785593
95	0.999428427	0.005298925607
96	0.9994586544	0.005125177398
97	0.9994723941	0.00504343594
98	0.9994751421	0.005021077029
99	0.99947789	0.0049567849
100	0.9994861339	0.004912765339
101	0.9994916298	0.004679131436
102	0.9994971256	0.004627237492
103	0.9995273531	0.004535826905
104	0.9995520846	0.004381852557
105	0.9995630764	0.004345048329
106	0.9995740682	0.004277926519
107	0.999582312	0.004229438274
108	0.9996015476	0.004158217593
109	0.9996180353	0.00401750625
110	0.9996262792	0.0039764262
111	0.999637271	0.003863620377
112	0.9996427669	0.00375187892
113	0.9996620025	0.003700960189
114	0.9996565066	0.003610022388
115	0.9996620025	0.003569962424
116	0.9996647504	0.00352193808
117	0.9996784902	0.003442456114
118	0.9996949779	0.003388369939
119	0.9996977258	0.003361685864
120	0.9997032217	0.003348564099
121	0.9997224573	0.003226606157
122	0.9997224573	0.003202431908
123	0.9997224573	0.00308174675
124	0.9997252053	0.003015875904
125	0.9997252053	0.003015861146
126	0.9997361971	0.00296738956
127	0.9997361971	0.002967377945
128	0.9997361971	0.002967356662
129	0.999738945	0.00295550558
130	0.999738945	0.002926164483
131	0.999741693	0.002901404051
132	0.9997499368	0.00289249491
133	0.9997526847	0.002864266163
134	0.9997526847	0.002852568336
135	0.9997526847	0.002852558296
136	0.9997581806	0.002844265606
137	0.9997581806	0.002844265606
138	0.9997581806	0.002844242449
139	0.9997581806	0.00284422099
140	0.9997581806	0.002844178192
141	0.9997581806	0.002844168921
142	0.9997581806	0.00284414762
143	0.9997581806	0.002844113714
144	0.9997581806	0.002844096346
145	0.9997581806	0.002844080927
146	0.9997581806	0.002844059684
147	0.9997581806	0.002844048126
148	0.9997581806	0.002844026935
149	0.9997581806	0.002844007498
150	0.9997581806	0.002843973648
151	0.9997581806	0.002843968369
152	0.9997581806	0.002843963092
153	0.9997581806	0.002843957818
154	0.9997581806	0.002843937285
155	0.9997581806	0.002843932018
156	0.9997581806	0.002843926755
157	0.9997581806	0.002843916384
158	0.9997581806	0.002843911023
159	0.9997581806	0.002843869037
160	0.9997581806	0.002843869037
161	0.9997581806	0.002820742475
162	0.9997581806	0.002820740739
163	0.9997581806	0.002820740739
164	0.9997636765	0.002802739509
165	0.999791156	0.002729116997
166	0.999791156	0.002729110019
167	0.9997884081	0.0027107107
168	0.9997884081	0.0027107107
169	0.999793904	0.002680030017
170	0.999793904	0.002680025755
171	0.999793904	0.002679997486
172	0.999793904	0.002679975645
173	0.999793904	0.002679975645
174	0.999793904	0.002679975645
175	0.999793904	0.002679975645
176	0.999793904	0.002666387474
177	0.9998076437	0.002589315606
178	0.9998048957	0.002565867176
179	0.9998048957	0.002536506829
180	0.9998048957	0.002501421738
181	0.9998131396	0.002485057954
182	0.9998241314	0.002448347937
183	0.9998241314	0.002429589404
184	0.9998186355	0.00239207186
185	0.9998268793	0.002285581591
186	0.9998296273	0.002267953126
187	0.9998323752	0.002212126117
188	0.999843367	0.00217952853
189	0.9998488629	0.002103340723
190	0.9998543588	0.002071183274
191	0.9998543588	0.002071172776
192	0.9998543588	0.002071172776
193	0.9998543588	0.002071165944
194	0.9998543588	0.002071152163
195	0.9998543588	0.002071141485
196	0.9998543588	0.002071134479
197	0.9998543588	0.002071134479
198	0.9998543588	0.002071116418
199	0.9998571067	0.00204071872
200	0.9998571067	0.002040711763
201	0.9998571067	0.002040704809
202	0.9998571067	0.002040690515
203	0.9998571067	0.002040683569
204	0.9998571067	0.002040676625
205	0.9998571067	0.002040676625
206	0.9998571067	0.002040676625
207	0.9998571067	0.002036484004
208	0.9998571067	0.002036474825
209	0.9998571067	0.002036472187
210	0.9998571067	0.002036463426
211	0.9998571067	0.002036457018
212	0.9998571067	0.002036454387
213	0.9998571067	0.002036447988
214	0.9998571067	0.002036432326
215	0.9998571067	0.002036426426
216	0.9998571067	0.002036423847
217	0.9998571067	0.002036423847
218	0.9998571067	0.002036421274
219	0.9998571067	0.002036414897
220	0.9998571067	0.002036412279
221	0.9998543588	0.002008957097
222	0.9998543588	0.002008954443
223	0.9998543588	0.002008951833
224	0.9998543588	0.002008945539
225	0.9998543588	0.002008942651
226	0.9998543588	0.002008940004
227	0.9998543588	0.002008940004
228	0.9998543588	0.002008900063
229	0.9998543588	0.002008898109
230	0.9998543588	0.002008880201
231	0.9998543588	0.002008877966
232	0.9998543588	0.002008874384
233	0.9998543588	0.002008870803
234	0.9998543588	0.002008869239
235	0.9998543588	0.002008867676
236	0.9998543588	0.00200886502
237	0.9998543588	0.00200886502
238	0.9998571067	0.001963568585
239	0.9998571067	0.001963565279
240	0.9998571067	0.001963552947
241	0.9998571067	0.001963549869
242	0.9998571067	0.001963538105
243	0.9998571067	0.001963526076
244	0.9998571067	0.001963523008
245	0.9998571067	0.001963519941
246	0.9998571067	0.001963518035
247	0.9998571067	0.00196351613
248	0.9998571067	0.001963514225
249	0.9998571067	0.001963512321
250	0.9998571067	0.001963510417
251	0.9998571067	0.001963479997
252	0.9998571067	0.001963470926
253	0.9998571067	0.001963470926
254	0.9998571067	0.001963455684
255	0.9998571067	0.001963455684
256	0.9998571067	0.001963449877
257	0.9998571067	0.001963442663
258	0.9998571067	0.001963442663
259	0.9998571067	0.001963442663
260	0.9998571067	0.001963442663
261	0.9998571067	0.001951155731
262	0.9998571067	0.001951153954
263	0.9998571067	0.001951152729
264	0.9998571067	0.001951150939
265	0.9998571067	0.001951149087
266	0.9998571067	0.001951147298
267	0.9998571067	0.00195114551
268	0.9998571067	0.00195113708
269	0.9998571067	0.001951131488
270	0.9998571067	0.001951125903
271	0.9998571067	0.001951124118
272	0.9998571067	0.00195111854
273	0.9998571067	0.001951116756
274	0.9998571067	0.001951111186
275	0.9998571067	0.001951109404
276	0.9998571067	0.001951087173
277	0.9998571067	0.001951084707
278	0.9998571067	0.001951081027
279	0.9998571067	0.001951079582
280	0.9998571067	0.001951061331
281	0.9998571067	0.001951061331
282	0.9998653506	0.001913466564
283	0.9998653506	0.001913466564
284	0.9998653506	0.001913464039
285	0.9998653506	0.001913454699
286	0.9998626026	0.001902128694
287	0.9998626026	0.001902125298
288	0.9998626026	0.001902117248
289	0.9998626026	0.001902093581
290	0.9998626026	0.001902091451
291	0.9998626026	0.001902089366
292	0.9998626026	0.001902083935
293	0.9998626026	0.001902082518
294	0.9998626026	0.001902081102
295	0.9998626026	0.001902064101
296	0.9998626026	0.001902060619
297	0.9998626026	0.001902055201
298	0.9998626026	0.001902049324
299	0.9998626026	0.001902049324
300	0.9998626026	0.001902042774
301	0.9998626026	0.001902042774
302	0.9998680985	0.001873952938
303	0.9998680985	0.001873952938
304	0.9998680985	0.00187393105
305	0.9998680985	0.00187393105
306	0.9998680985	0.001873919438
307	0.9998680985	0.001873919438
308	0.9998680985	0.001873919438
309	0.9998680985	0.001873886178
310	0.9998680985	0.001873875679
311	0.9998680985	0.001873865364
312	0.9998680985	0.001873865364
313	0.9998680985	0.001873865364
314	0.9998680985	0.001859660249
315	0.9998680985	0.001859660249
316	0.9998680985	0.001859653227
317	0.9998680985	0.001859642876
318	0.9998680985	0.001859633909
319	0.9998680985	0.001859626896
320	0.9998680985	0.001859617938
321	0.9998680985	0.001859598842
322	0.9998680985	0.001859579775
323	0.9998680985	0.001859560737
324	0.9998680985	0.001859541728
325	0.9998680985	0.001859541728
326	0.9998680985	0.001859520694
327	0.9998680985	0.001859520694
328	0.9998680985	0.001859502937
329	0.9998680985	0.001859502937
330	0.9998680985	0.001859502937
331	0.9998680985	0.001859502937
332	0.9998680985	0.001859484708
333	0.9998680985	0.001859475258
334	0.9998680985	0.001859465814
335	0.9998680985	0.001859456378
336	0.9998680985	0.001859438719
337	0.9998680985	0.001859429303
338	0.9998680985	0.001859419895
339	0.9998680985	0.001859410494
340	0.9998680985	0.0018594011
341	0.9998680985	0.001859391713
342	0.9998680985	0.001859382333
343	0.9998680985	0.001859377646
344	0.9998680985	0.001859372961
345	0.9998680985	0.001859368278
346	0.9998680985	0.00185935169
347	0.9998680985	0.00185934731
348	0.9998680985	0.001859342243
349	0.9998680985	0.001859337866
350	0.9998680985	0.001859333193
351	0.9998680985	0.00185932882
